Unix Time,id_ue,rb_allocated,mcs,rsrp
1728673066,57868,5,9,7
1728673066,57868,5,8,8
1728673066,57868,5,7,7
1728673066,57868,5,7,7
1728673066,57868,5,6,7
1728673066,57868,5,6,14
1728673066,57868,5,6,7
1728673066,57868,5,6,14
1728673066,57868,5,6,14
1728673066,57868,5,6,14
1728673066,57868,5,6,7
1728673066,57868,5,6,7
1728673066,57868,5,6,7
1728673066,57868,5,6,7
1728673066,57868,5,6,7
1728673067,57868,5,6,7
1728673067,57868,5,6,7
1728673067,57868,5,6,7
1728673067,57868,5,6,7
1728673067,57868,5,6,7
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,13,6,6
1728673067,57868,5,6,6
1728673067,57868,5,6,12
1728673067,57868,5,6,12
1728673067,57868,5,6,12
1728673067,57868,5,6,12
1728673067,57868,5,6,12
1728673067,57868,5,6,12
1728673067,57868,5,6,6
1728673067,57868,5,6,6
1728673067,57868,15,2,3
1728673067,57868,5,2,3
1728673067,57868,6,2,8
1728673067,57868,5,2,5
1728673067,57868,5,2,5
1728673067,57868,29,2,5
1728673067,57868,5,2,5
1728673067,57868,5,2,5
1728673067,57868,5,2,5
1728673067,57868,5,2,5
1728673067,57868,61,2,5
1728673068,57868,38,2,5
1728673068,57868,5,0,1
1728673068,57868,5,0,1
1728673068,57868,5,0,4
1728673068,57868,5,0,4
1728673068,57868,26,0,4
1728673068,57868,23,0,4
1728673068,57868,5,0,4
1728673068,57868,30,0,4
1728673068,57868,5,0,4
1728673068,57868,59,0,4
1728673068,57868,23,0,4
1728673068,57868,5,0,4
1728673068,57868,5,0,0
1728673068,57868,49,0,8
1728673068,57868,5,0,8
1728673068,57868,49,0,4
1728673068,57868,5,0,4
1728673068,57868,19,0,4
1728673068,57868,5,0,3
1728673068,57868,19,0,3
1728673068,57868,19,0,3
1728673068,57868,19,0,3
1728673068,57868,5,0,3
1728673068,57868,5,0,3
1728673068,57868,49,0,6
1728673068,57868,17,0,3
1728673068,57868,65,0,3
1728673068,57868,49,0,3
1728673068,57868,5,0,3
1728673068,57868,17,0,3
1728673068,57868,273,0,3
1728673068,57868,21,0,3
1728673068,57868,5,0,3
1728673068,57868,93,0,6
1728673068,57868,45,0,6
1728673068,57868,109,0,6
1728673068,57868,93,0,6
1728673068,57868,5,0,6
1728673068,57868,5,0,6
1728673068,57868,9,0,12
1728673068,57868,17,0,3
1728673068,57868,273,0,3
1728673068,57868,273,0,3
1728673068,57868,273,0,3
1728673068,57868,273,0,3
1728673068,57868,119,0,3
1728673069,57868,45,0,3
1728673069,57868,40,0,3
1728673069,57868,273,0,3
1728673069,57868,93,0,3
1728673069,57868,93,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,7,0,6
1728673069,57868,5,0,6
1728673069,57868,5,0,6
1728673069,57868,85,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,17,0,6
1728673069,57868,273,0,6
1728673069,57868,273,0,6
1728673069,57868,273,0,6
1728673069,57868,273,0,6
1728673069,57868,118,0,6
1728673069,57868,273,0,6
1728673069,57868,19,0,6
1728673069,57868,273,0,6
1728673069,57868,19,0,6
1728673069,57868,273,0,6
1728673069,57868,41,0,6
1728673069,57868,255,0,6
1728673069,57868,5,0,6
1728673069,57868,255,0,6
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,17,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,273,0,3
1728673069,57868,198,0,3
1728673069,57868,5,0,6
1728673069,57868,273,0,6
1728673069,57868,41,0,6
1728673069,57868,23,0,6
1728673069,57868,273,0,6
1728673069,57868,273,0,6
1728673069,57868,255,0,6
1728673069,57868,273,0,6
1728673069,57868,273,0,6
1728673069,57868,5,0,6
1728673069,57868,17,0,6
1728673069,57868,5,0,6
1728673069,57868,93,0,6
1728673069,57868,23,0,6
1728673069,57868,5,0,6
1728673069,57868,23,0,6
1728673069,57868,10,0,6
1728673069,57868,12,0,12
1728673069,57868,5,0,12
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,45,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,45,0,6
1728673069,57868,5,0,6
1728673069,57868,17,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,3
1728673069,57868,5,0,6
1728673069,57868,45,0,6
1728673070,57868,273,0,3
1728673070,57868,97,0,3
1728673070,57868,19,0,3
1728673070,57868,5,0,3
1728673070,57868,200,0,3
1728673070,57868,5,0,3
1728673070,57868,5,0,6
1728673070,57868,19,0,6
1728673070,57868,19,0,3
1728673070,57868,5,0,3
1728673070,57868,49,0,3
1728673070,57868,34,0,3
1728673070,57868,200,0,3
1728673070,57868,52,0,7
1728673070,57868,19,0,4
1728673070,57868,5,0,4
1728673070,57868,52,0,4
1728673070,57868,49,0,5
1728673070,57868,52,0,5
1728673071,57868,52,0,5
1728673071,57868,18,0,5
1728673071,57868,5,0,5
1728673071,57868,7,0,5
1728673071,57868,21,0,5
1728673071,57868,9,0,4
1728673071,57868,5,0,4
1728673071,57868,5,0,4
1728673071,57868,9,0,4
1728673071,57868,52,0,4
1728673071,57868,11,0,4
1728673071,57868,6,0,4
1728673071,57868,11,0,4
1728673071,57868,6,0,4
1728673071,57868,5,0,4
1728673071,57868,100,0,10
1728673071,57868,6,0,10
1728673071,57868,6,0,10
1728673071,57868,5,0,10
1728673071,57868,5,0,10
1728673071,57868,6,0,10
1728673071,57868,100,0,10
1728673071,57868,6,0,10
1728673071,57868,11,0,6
1728673071,57868,5,0,6
1728673071,57868,11,0,6
1728673071,57868,13,0,6
1728673071,57868,5,0,6
1728673071,57868,5,0,6
1728673071,57868,13,0,6
1728673071,57868,14,0,11
1728673071,57868,14,0,11
1728673071,57868,5,0,11
1728673071,57868,7,0,4
1728673071,57868,7,0,4
1728673071,57868,5,0,4
1728673071,57868,5,0,4
1728673071,57868,14,0,6
1728673071,57868,18,0,6
1728673071,57868,18,0,11
1728673071,57868,5,0,11
1728673071,57868,273,0,11
1728673071,57868,97,0,11
1728673071,57868,20,0,11
1728673071,57868,52,0,11
1728673071,57868,5,0,11
1728673071,57868,20,0,11
1728673071,57868,273,0,11
1728673071,57868,97,0,11
1728673071,57868,23,0,11
1728673071,57868,23,0,6
1728673071,57868,200,0,6
1728673071,57868,26,0,6
1728673071,57868,26,0,11
1728673071,57868,26,0,11
1728673071,57868,273,0,11
1728673071,57868,106,0,11
1728673071,57868,27,0,12
1728673071,57868,32,0,12
1728673071,57868,32,0,11
1728673071,57868,32,0,11
1728673071,57868,32,0,11
1728673071,57868,36,0,11
1728673071,57868,5,0,11
1728673071,57868,38,0,11
1728673071,57868,19,0,0
1728673071,57868,20,0,0
1728673071,57868,43,0,11
1728673071,57868,45,0,11
1728673071,57868,5,0,11
1728673071,57868,46,0,6
1728673071,57868,48,0,6
1728673071,57868,50,0,11
1728673071,57868,54,0,11
1728673071,57868,56,0,9
1728673071,57868,5,0,9
1728673071,57868,54,0,9
1728673072,57868,54,0,3
1728673072,57868,52,0,3
1728673072,57868,5,0,3
1728673072,57868,54,0,3
1728673072,57868,54,0,3
1728673072,57868,54,0,3
1728673072,57868,5,0,3
1728673072,57868,52,0,3
1728673072,57868,54,0,3
1728673072,57868,5,0,3
1728673072,57868,54,0,3
1728673072,57868,56,0,3
1728673072,57868,58,0,3
1728673072,57868,58,0,3
1728673072,57868,58,0,3
1728673072,57868,5,0,3
1728673072,57868,61,0,3
1728673072,57868,63,0,3
1728673072,57868,61,0,3
1728673072,57868,19,0,3
1728673072,57868,5,0,3
1728673072,57868,61,0,3
1728673072,57868,65,0,3
1728673072,57868,63,0,3
1728673072,57868,5,0,3
1728673072,57868,34,0,6
1728673072,57868,35,0,6
1728673072,57868,5,0,14
1728673073,60950,5,9,0
1728673073,60950,11,9,0
1728673073,60950,6,9,0
1728673073,60950,6,8,11
1728673073,60950,5,8,12
1728673073,60950,5,8,12
1728673073,60950,5,8,12
1728673073,60950,5,8,12
1728673073,60950,5,8,8
1728673073,60950,5,8,8
1728673073,60950,5,8,8
1728673073,60950,5,8,8
1728673073,60950,32,5,4
1728673073,60950,5,5,4
1728673073,60950,22,5,4
1728673073,60950,5,5,4
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,9,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,8
1728673073,60950,5,5,5
1728673073,60950,89,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,10
1728673073,60950,5,5,10
1728673073,60950,5,5,10
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,5,5,5
1728673073,60950,49,5,4
1728673073,60950,5,5,4
1728673073,60950,5,5,4
1728673073,60950,37,5,4
1728673073,60950,8,5,4
1728673073,60950,5,5,4
1728673073,60950,61,5,4
1728673073,60950,5,5,4
1728673073,60950,16,5,4
1728673073,60950,5,5,8
1728673073,60950,5,5,8
1728673073,60950,5,5,4
1728673073,60950,5,5,4
1728673073,60950,5,5,4
1728673073,60950,5,5,4
1728673073,60950,5,5,4
1728673074,60
